,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
61,3,Baumanskaya,Бауманская,"55.7730,37.6806",42,87,0,62,27,52,147,18,96,28
62,3,Elektrozavodskaya,Электрозаводская,"55.7817,37.7037",30,49,1,63,10,23,114,17,103,13
63,3,Semyonovskaya,Семёновская,"55.7833,37.7208",16,69,2,58,16,24,90,13,100,12
64,3,Partizanskaya,Партизанская,"55.7886,37.7506",13,9,0,37,7,20,46,7,46,15
65,3,Izmaylovskaya,Измайловская,"55.7878,37.7814",4,35,0,19,5,13,48,7,68,6
66,3,Pervomayskaya,Первомайская,"55.7948,37.7993",12,55,0,33,11,30,86,13,77,12
67,3,Shchyolkovskaya,Щёлковская,"55.8094,37.7986",4,16,0,28,4,19,43,24,73,16
68,4,Kuntsevskaya,Кунцевская,"55.7307,37.4459",10,7,0,13,5,37,66,19,56,16
69,4,Pionerskaya,Пионерская,"55.7360,37.4671",2,8,0,14,5,31,53,17,25,6
70,4,Filyovsky Park,Филёвский парк,"55.7396,37.4833",2,12,0,22,5,22,58,16,65,11
71,4,Bagrationovskaya,Багратионовская,"55.7438,37.4977",10,15,2,42,8,35,79,19,92,18
72,4,Fili,Фили,"55.7460,37.5150",10,25,0,50,8,21,78,17,74,16
73,4,Kutuzovskaya,Кутузовская,"55.7399,37.5344",14,32,0,63,12,28,134,27,88,25
74,4,Studencheskaya,Студенческая,"55.7388,37.5483",10,22,1,30,8,23,91,27,88,28
75,4,Mezhdunarodnaya,Международная,"55.7483,37.5339",20,30,0,70,15,33,148,18,129,38
76,4,Vystavochnaya,Выставочная,"55.7502,37.5408",21,24,0,71,19,44,147,32,142,41
77,4,Kiyevskaya,Киевская,"55.7436,37.5655",31,24,0,108,29,51,118,62,158,51
78,4,Smolenskaya,Смоленская,"55.7488,37.5825",72,37,1,114,36,56,165,71,107,56
79,4,Arbatskaya,Арбатская,"55.7518,37.6007",130,77,2,161,52,73,177,52,101,73
80,4,Aleksandrovsky Sad,Александровский сад,"55.7525,37.6085",121,74,2,148,48,72,184,36,141,75
81,5,Kiyevskaya,Киевская,"55.7446,37.5644",30,21,0,91,25,47,107,60,157,55
82,5,Krasnopresnenskaya,Краснопресненская,"55.7613,37.5774",59,43,0,112,44,61,175,50,120,34
83,5,Belorusskaya,Белорусская,"55.7764,37.5844",51,60,0,145,49,44,168,53,141,62
84,5,Novoslobodskaya,Новослободская,"55.7799,37.6028",51,68,0,113,50,57,159,39,126,38
85,5,Prospekt Mira,Проспект Мира,"55.7798,37.6318",31,25,1,79,25,46,168,39,112,37
86,5,Komsomolskaya,Комсомольская,"55.7748,37.6549",28,31,0,90,24,39,150,25,90,91
87,5,Kurskaya,Курская,"55.7570,37.6595",70,85,3,105,49,66,152,30,162,67
88,5,Taganskaya,Таганская,"55.7418,37.6517",48,51,1,113,46,56,159,43,118,48
89,5,Paveletskaya,Павелецкая,"55.7318,37.6379",52,94,1,114,29,61,168,30,105,70
90,5,Dobryninskaya,Добрынинская,"55.7291,37.6243",37,92,0,93,30,53,158,29,107,54
91,5,Oktyabrskaya,Октябрьская,"55.7297,37.6091",36,62,0,85,23,73,142,35,87,47
92,5,Park Kultury,Парк культуры,"55.7357,37.5915",47,60,2,91,20,52,121,45,87,45
93,6,Medvedkovo,Медведково,"55.8872,37.6613",4,13,0,26,12,27,56,18,68,11
94,6,Babushkinskaya,Бабушкинская,"55.8694,37.6644",3,22,1,34,7,28,68,26,80,11
95,6,Sviblovo,Свиблово,"55.8552,37.6527",6,13,1,30,4,19,65,29,66,9
96,6,Botanichesky Sad,Ботанический сад,"55.8449,37.6383",5,21,1,25,5,27,47,10,37,11
97,6,VDNKh,ВДНХ,"55.8211,37.6411",16,35,0,48,10,28,70,21,75,36
98,6,Alekseyevskaya,Алексеевская,"55.8088,37.6390",12,45,0,42,10,32,117,32,88,16
99,6,Rizhskaya,Рижская,"55.7936,37.6362",8,22,1,27,11,18,78,27,70,19
100,6,Prospekt Mira,Проспект Мира,"55.7812,37.6318",30,24,0,89,28,47,170,38,103,36
101,6,Sukharevskaya,Сухаревская,"55.7733,37.6319",60,35,2,109,61,45,170,32,152,55
102,6,Turgenevskaya,Тургеневская,"55.7661,37.6374",72,59,0,213,130,64,192,31,143,77
103,6,Kitay-gorod,Китай-город,"55.7553,37.6333",79,70,2,144,106,73,162,18,141,71
104,6,Tretyakovskaya,Третьяковская,"55.7412,37.6274",62,61,1,106,36,56,174,34,121,50
